NO_OF_FRAMES	211
NO_OF_CAMERAS	23
NO_OF_MARKERS	12
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-25, 17:51:17	5834.69910782
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	
6703	37.44134	339.215	-4457.682	7097.814	286.846	-4536.629	7170.859	281.804	-4591.418	7231.073	316.203	-4612.930	7289.913	344.816	-4629.666	7347.356	363.954	-4644.980	7431.911	370.034	-4672.668	7508.987	382.596	-4704.111	7589.318	382.833	-4727.252	7665.756	385.748	-4734.456	7751.622	371.509	-4742.945	7857.906	300.724	-4745.531	7948.589
6704	37.44693	338.993	-4453.894	7077.391	286.813	-4532.930	7149.941	279.135	-4588.086	7211.131	314.415	-4609.420	7268.682	343.459	-4625.354	7326.264	363.580	-4639.552	7410.573	369.936	-4666.182	7487.983	382.317	-4696.071	7568.974	382.484	-4717.985	7645.577	383.974	-4723.823	7731.863	367.220	-4730.857	7837.830	294.416	-4734.590	7928.009
6705	37.45251	338.654	-4449.928	7056.670	286.882	-4529.118	7128.923	277.551	-4584.629	7189.542	312.664	-4605.941	7247.196	342.337	-4621.160	7304.622	363.170	-4634.161	7388.925	369.907	-4659.766	7466.562	382.074	-4687.927	7548.266	382.112	-4708.618	7625.072	382.177	-4713.143	7711.630	362.755	-4718.748	7817.449	288.073	-4723.779	7906.896
6706	37.45810	338.346	-4445.906	7035.832	286.860	-4525.270	7107.748	276.031	-4581.144	7167.655	310.907	-4602.512	7225.443	341.128	-4617.094	7282.838	362.741	-4628.861	7366.962	369.915	-4653.405	7444.744	381.819	-4679.867	7527.182	381.636	-4699.114	7604.196	380.280	-4702.354	7691.054	358.443	-4706.595	7796.517	281.961	-4713.123	7885.135
6707	37.46369	338.041	-4441.837	7014.787	286.830	-4521.433	7086.301	275.526	-4577.531	7144.169	309.240	-4599.111	7203.387	340.564	-4612.945	7259.949	362.461	-4623.573	7344.956	369.636	-4647.060	7423.003	381.597	-4671.823	7505.742	381.200	-4689.435	7582.918	378.361	-4691.409	7670.117	354.408	-4694.627	7775.343	275.927	-4702.561	7862.893
6708	37.46927	337.724	-4437.666	6993.519	286.834	-4517.482	7064.777	273.147	-4574.170	7123.129	307.595	-4595.704	7181.047	339.337	-4608.986	7237.615	361.858	-4618.483	7322.264	370.121	-4640.675	7400.116	381.377	-4663.774	7483.945	382.446	-4679.647	7559.500	376.431	-4680.329	7648.729	350.390	-4682.612	7753.670	269.875	-4691.780	7840.035
6709	37.47486	337.387	-4433.557	6972.129	286.790	-4513.523	7042.964	272.630	-4570.459	7099.217	306.034	-4592.403	7158.429	338.296	-4605.050	7214.843	361.303	-4613.576	7299.150	369.961	-4634.377	7377.616	381.206	-4655.722	7461.706	380.968	-4669.879	7538.431	374.440	-4669.196	7626.975	345.607	-4672.685	7730.776	265.491	-4674.409	7819.625
6710	37.48045	336.956	-4429.265	6950.460	286.690	-4509.557	7020.867	271.171	-4566.823	7076.429	304.476	-4589.116	7135.509	337.207	-4601.193	7191.897	360.676	-4608.797	7275.497	370.661	-4627.992	7353.813	380.937	-4647.704	7439.172	380.719	-4659.941	7515.538	372.497	-4657.875	7604.729	341.485	-4660.423	7708.027	259.704	-4663.656	7795.764
6711	37.48603	336.562	-4424.991	6928.656	286.544	-4505.508	6998.566	268.485	-4563.377	7055.285	302.975	-4585.862	7112.304	336.171	-4597.379	7168.543	360.228	-4603.826	7252.059	369.815	-4621.752	7331.456	380.775	-4639.611	7416.164	379.861	-4650.085	7492.889	370.432	-4646.441	7582.134	337.421	-4648.221	7684.655	252.124	-4657.742	7770.864
6712	37.49162	336.203	-4420.713	6906.688	286.481	-4501.368	6976.251	268.415	-4559.558	7030.115	301.419	-4582.693	7088.958	335.287	-4593.663	7144.868	359.752	-4599.006	7228.106	369.596	-4615.555	7308.078	380.621	-4631.550	7392.753	378.797	-4640.208	7469.944	368.430	-4634.925	7559.057	333.564	-4635.654	7661.142	246.852	-4646.149	7746.171
