NO_OF_FRAMES	200
NO_OF_CAMERAS	23
NO_OF_MARKERS	11
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-20, 17:24:32	9219.12088556
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	
7193	40.17877	121.448	-4653.800	7291.310	177.286	-4720.958	7343.484	234.304	-4785.247	7334.803	250.762	-4861.477	7350.767	283.967	-4930.499	7368.213	324.601	-5000.235	7394.449	288.997	-5079.363	7511.118	273.623	-5098.789	7591.202	NA	NA	NA	276.259	-4987.269	7748.730	268.467	-4942.485	7884.058
7194	40.18436	119.396	-4651.462	7270.189	173.725	-4720.061	7321.491	237.500	-4783.780	7318.437	250.081	-4858.528	7327.639	283.404	-4927.659	7345.944	324.003	-4997.224	7372.681	288.390	-5077.325	7487.881	268.958	-5091.984	7560.107	NA	NA	NA	269.218	-4975.821	7720.760	248.680	-4927.195	7851.658
7195	40.18994	115.686	-4647.882	7243.574	170.044	-4719.464	7299.582	236.563	-4780.776	7295.199	249.377	-4855.687	7303.597	283.099	-4923.966	7323.511	322.539	-4994.532	7348.664	287.257	-5075.465	7464.331	268.615	-5088.413	7544.656	NA	NA	NA	261.828	-4966.973	7693.865	229.829	-4910.313	7817.650
7196	40.19553	115.333	-4645.116	7222.708	166.442	-4719.137	7277.563	235.257	-4777.696	7271.898	249.088	-4852.442	7279.072	280.891	-4922.405	7297.202	317.187	-4989.689	7319.369	285.490	-5073.604	7440.491	266.970	-5084.386	7521.163	NA	NA	NA	249.199	-4958.027	7672.205	NA	NA	NA
7197	40.20112	115.372	-4641.997	7201.588	162.316	-4718.912	7254.822	233.788	-4774.560	7248.705	249.034	-4849.320	7254.141	280.419	-4919.304	7273.333	320.376	-4987.591	7304.392	285.496	-5071.809	7417.596	262.640	-5079.621	7489.695	NA	NA	NA	241.722	-4948.985	7644.379	NA	NA	NA
7198	40.20670	115.829	-4638.773	7180.491	158.086	-4718.797	7231.277	231.978	-4771.458	7225.479	249.141	-4845.974	7229.083	280.557	-4916.126	7248.640	318.884	-4983.800	7281.365	283.786	-5069.876	7393.630	261.784	-5077.638	7473.347	NA	NA	NA	234.177	-4940.423	7615.989	NA	NA	NA
7199	40.21229	116.563	-4635.452	7159.165	153.820	-4718.442	7207.790	229.654	-4768.612	7201.541	249.324	-4842.513	7203.987	280.713	-4912.996	7224.165	316.787	-4981.202	7257.717	281.855	-5067.928	7369.271	259.903	-5073.813	7449.362	NA	NA	NA	226.699	-4932.268	7587.280	NA	NA	NA
7200	40.21788	117.433	-4632.143	7137.690	149.588	-4718.153	7183.204	227.185	-4765.783	7177.575	249.518	-4839.024	7178.875	280.347	-4909.406	7199.127	315.389	-4977.635	7233.997	281.553	-5065.716	7345.762	258.224	-5070.382	7425.275	NA	NA	NA	219.313	-4924.556	7557.960	NA	NA	NA
7201	40.22346	118.473	-4629.008	7115.806	145.722	-4717.783	7158.426	223.951	-4763.267	7152.243	249.682	-4835.267	7153.819	280.008	-4905.523	7174.210	314.244	-4974.097	7210.105	280.525	-5063.455	7321.637	256.489	-5066.911	7400.840	NA	NA	NA	212.212	-4917.194	7527.800	NA	NA	NA
7202	40.22905	119.569	-4626.034	7093.637	141.999	-4717.173	7133.529	221.139	-4761.010	7127.284	249.693	-4831.763	7128.547	280.131	-4902.004	7149.767	313.069	-4970.771	7186.605	278.938	-5060.988	7296.859	253.509	-5062.278	7374.464	NA	NA	NA	205.501	-4910.001	7496.809	NA	NA	NA
