NO_OF_FRAMES	224
NO_OF_CAMERAS	23
NO_OF_MARKERS	16
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-29, 12:34:19	11814.01908307
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	
13393	74.81564	1373.399	-4659.007	7762.375	1334.005	-4667.704	7801.430	1270.018	-4659.021	7805.011	NA	NA	NA	1230.289	-4768.662	7786.228	1191.614	-4812.617	7801.777	1125.043	-4807.760	7798.342	1072.782	-4798.219	7805.548	1006.515	-4803.512	7824.659	943.390	-4815.760	7850.213	885.389	-4828.554	7875.008	839.795	-4824.534	7917.259	NA	NA	NA	772.585	-4755.845	8053.324	756.242	-4716.199	8104.834	774.031	-4642.385	8173.917
13394	74.82123	1379.888	-4657.027	7745.096	1340.380	-4665.932	7783.946	1276.904	-4655.358	7788.841	NA	NA	NA	1236.586	-4764.025	7771.219	1199.532	-4809.654	7786.637	1132.942	-4805.945	7782.820	1080.878	-4795.560	7789.555	1014.418	-4799.690	7808.210	951.513	-4811.184	7834.331	893.734	-4823.650	7859.533	848.832	-4818.780	7902.415	NA	NA	NA	784.071	-4748.902	8038.431	771.196	-4708.683	8091.341	NA	NA	NA
13395	74.82682	1386.298	-4655.112	7727.529	1346.848	-4664.072	7766.561	1283.750	-4651.771	7772.374	NA	NA	NA	1242.837	-4759.348	7755.962	1207.531	-4806.574	7771.274	1140.963	-4804.117	7767.322	1088.892	-4792.952	7773.179	1022.509	-4795.711	7791.782	959.437	-4806.594	7817.763	902.126	-4818.714	7843.817	858.177	-4812.955	7887.504	NA	NA	NA	798.845	-4740.762	8025.628	788.506	-4700.720	8079.162	NA	NA	NA
13396	74.83240	1392.690	-4653.126	7709.920	1353.135	-4662.248	7748.729	1290.472	-4648.404	7755.459	NA	NA	NA	1249.110	-4754.690	7740.334	1215.450	-4803.391	7755.553	1149.108	-4802.154	7751.900	1097.176	-4790.238	7757.082	1030.504	-4791.751	7774.983	967.585	-4801.808	7801.359	910.716	-4813.729	7828.002	867.114	-4807.266	7871.840	825.362	-4782.734	7924.619	812.108	-4733.227	8011.285	801.528	-4694.061	8063.528	NA	NA	NA
13397	74.83799	1398.991	-4651.188	7692.202	1359.475	-4660.417	7731.231	1297.143	-4645.186	7738.096	NA	NA	NA	1255.342	-4750.087	7724.378	1223.408	-4800.119	7739.685	1157.274	-4800.090	7736.301	1105.498	-4787.493	7740.899	1038.818	-4787.594	7758.399	975.863	-4796.957	7784.913	919.451	-4808.709	7812.101	876.025	-4801.635	7855.869	836.385	-4775.829	7909.444	825.277	-4726.003	7996.359	818.743	-4686.250	8050.491	NA	NA	NA
13398	74.84358	1405.149	-4649.240	7674.354	1365.634	-4658.709	7713.260	1303.755	-4642.022	7720.446	NA	NA	NA	1261.479	-4745.459	7708.104	1231.174	-4796.926	7722.776	1165.447	-4798.042	7720.438	1113.748	-4784.812	7724.298	1046.990	-4783.463	7741.317	984.120	-4792.076	7768.072	928.188	-4803.653	7795.851	884.934	-4795.988	7839.533	847.409	-4769.018	7893.932	838.716	-4718.829	7981.107	833.808	-4679.267	8035.376	832.880	-4607.632	8109.018
13399	74.84916	1411.276	-4647.212	7656.529	1371.720	-4657.027	7695.185	1310.061	-4639.001	7701.760	NA	NA	NA	1267.712	-4740.876	7691.627	1239.095	-4793.583	7706.198	1173.551	-4796.016	7704.085	1122.179	-4782.038	7708.006	1055.265	-4779.289	7724.164	992.267	-4787.183	7750.661	936.769	-4798.630	7779.100	894.146	-4790.287	7823.151	858.461	-4762.334	7878.156	851.616	-4711.750	7964.170	848.984	-4672.293	8019.938	856.497	-4599.302	8099.640
13400	74.85475	1417.369	-4645.257	7638.497	1377.704	-4655.365	7676.854	1316.544	-4635.899	7683.590	NA	NA	NA	1273.833	-4736.308	7674.709	1246.981	-4790.219	7689.265	1181.796	-4793.896	7687.924	1130.386	-4779.363	7691.000	1063.455	-4775.154	7706.562	1000.368	-4782.162	7732.973	945.171	-4793.664	7761.833	903.399	-4784.584	7806.418	869.502	-4755.748	7861.943	863.546	-4705.425	7947.079	866.199	-4662.410	8007.357	876.516	-4593.495	8085.685
13401	74.86034	1423.396	-4643.275	7620.266	1383.698	-4653.710	7658.445	1323.013	-4632.845	7665.284	NA	NA	NA	1279.888	-4731.833	7657.528	1254.868	-4786.801	7672.099	1191.950	-4790.727	7677.580	1139.448	-4776.634	7675.656	1071.891	-4770.901	7689.145	1008.706	-4777.110	7715.396	955.524	-4788.359	7747.463	912.169	-4779.113	7788.804	880.615	-4749.178	7845.311	876.980	-4698.623	7930.731	881.191	-4655.811	7990.760	894.361	-4588.182	8069.814
13402	74.86592	1429.415	-4641.418	7601.832	1389.666	-4651.985	7639.841	1329.501	-4629.836	7646.811	NA	NA	NA	1285.860	-4727.361	7639.916	1262.829	-4783.370	7654.762	1200.277	-4788.509	7661.319	1147.778	-4773.941	7658.385	1080.498	-4766.573	7671.688	1017.316	-4771.927	7698.011	964.318	-4783.282	7730.111	921.241	-4773.699	7771.188	891.737	-4742.625	7828.207	890.303	-4692.056	7913.910	894.600	-4652.387	7969.381	912.147	-4582.976	8053.604
