NO_OF_FRAMES	229
NO_OF_CAMERAS	23
NO_OF_MARKERS	17
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 11:51:05	6347.40025363
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	
2016	11.25698	NA	NA	NA	446.431	-4601.049	7155.730	453.051	-4650.103	7183.577	459.449	-4683.358	7218.266	461.942	-4708.970	7260.658	463.681	-4733.887	7319.868	472.414	-4753.407	7378.821	480.609	-4775.605	7431.319	482.279	-4803.410	7479.499	477.068	-4831.164	7529.943	459.524	-4861.757	7596.360	434.739	-4886.333	7642.168	393.303	-4916.780	7693.097	346.104	-4943.195	7746.234	306.301	-4950.507	7806.292	268.262	-4941.142	7869.100	208.402	-4908.170	7941.991
2017	11.26257	447.774	-4545.063	7096.790	445.346	-4597.997	7134.097	451.394	-4647.005	7161.950	457.522	-4680.412	7196.337	459.730	-4706.484	7238.608	461.776	-4732.028	7297.486	471.397	-4750.638	7356.572	480.658	-4772.140	7409.185	482.648	-4799.150	7457.613	477.574	-4826.601	7508.305	460.059	-4856.933	7574.825	435.192	-4880.900	7620.899	392.296	-4911.914	7671.365	345.055	-4935.648	7724.600	303.385	-4942.522	7783.484	263.465	-4932.961	7845.069	200.727	-4898.531	7915.749
2018	11.26816	448.887	-4543.305	7072.767	444.577	-4595.150	7110.764	449.733	-4643.809	7139.888	455.706	-4677.410	7174.184	457.357	-4703.834	7216.142	459.699	-4730.173	7274.899	470.204	-4748.167	7333.995	480.531	-4768.862	7386.628	483.079	-4794.979	7435.362	478.201	-4821.913	7487.451	460.623	-4852.125	7553.141	435.762	-4875.899	7600.292	392.241	-4905.626	7649.810	343.911	-4928.496	7702.514	300.555	-4934.912	7760.440	258.799	-4924.706	7820.666	193.283	-4891.597	7889.013
2019	11.27374	449.518	-4540.593	7049.333	443.790	-4592.517	7087.844	448.262	-4640.665	7117.651	453.965	-4674.465	7151.868	455.232	-4701.324	7193.651	456.883	-4727.550	7252.646	468.816	-4745.611	7311.121	480.202	-4765.552	7364.025	483.419	-4790.877	7412.904	478.827	-4817.392	7465.131	461.257	-4847.194	7531.145	436.153	-4870.688	7578.359	392.093	-4899.276	7627.874	343.052	-4920.874	7680.460	297.856	-4927.215	7737.011	254.404	-4916.757	7795.897	186.504	-4884.213	7862.184
2020	11.27933	451.587	-4538.481	7032.563	443.092	-4589.642	7064.662	446.810	-4637.398	7095.049	452.364	-4671.354	7129.227	453.120	-4698.489	7171.065	454.428	-4725.048	7229.722	467.196	-4743.153	7288.148	480.812	-4763.539	7340.128	483.728	-4786.925	7390.088	479.453	-4813.039	7442.589	461.840	-4842.311	7508.742	436.473	-4865.335	7556.177	391.910	-4893.134	7605.592	342.459	-4912.452	7658.441	292.473	-4919.659	7714.992	250.153	-4908.702	7770.827	180.149	-4875.602	7835.368
2021	11.28492	NA	NA	NA	442.429	-4586.855	7041.076	445.591	-4634.292	7072.317	450.894	-4668.326	7106.400	451.093	-4695.780	7148.047	452.088	-4722.681	7206.453	465.414	-4740.557	7265.026	480.001	-4760.397	7316.917	483.989	-4782.998	7366.941	480.123	-4808.735	7419.766	462.387	-4837.542	7486.429	436.774	-4860.277	7533.404	392.261	-4886.789	7583.927	341.534	-4905.501	7635.205	290.281	-4911.973	7690.940	246.164	-4900.744	7745.385	173.866	-4868.355	7807.963
2022	11.29050	NA	NA	NA	441.865	-4584.044	7017.236	444.427	-4631.084	7049.246	449.490	-4665.245	7083.353	449.097	-4692.848	7124.860	449.941	-4720.302	7183.008	463.545	-4738.181	7241.497	479.045	-4757.211	7293.419	484.126	-4779.123	7343.481	480.754	-4804.301	7396.582	463.167	-4832.303	7463.257	437.105	-4854.959	7510.566	392.227	-4880.317	7560.996	340.712	-4898.193	7611.855	288.282	-4903.925	7666.632	242.518	-4893.089	7719.670	167.527	-4863.196	7781.222
2023	11.29609	NA	NA	NA	441.360	-4581.338	6993.145	443.403	-4627.787	7025.906	448.212	-4661.991	7059.956	447.306	-4689.898	7101.392	447.724	-4717.959	7159.232	461.587	-4735.488	7217.706	478.045	-4754.203	7269.496	484.173	-4775.466	7319.670	481.370	-4799.850	7373.055	463.789	-4827.502	7440.249	437.193	-4850.521	7486.945	392.537	-4873.420	7538.819	339.932	-4891.035	7588.061	286.391	-4896.164	7642.186	238.993	-4885.396	7693.734	161.541	-4853.003	7754.108
2024	11.30168	443.304	-4545.229	6943.024	440.908	-4578.733	6968.767	442.536	-4624.652	7002.343	447.122	-4658.828	7036.298	445.640	-4686.979	7077.691	445.419	-4715.462	7135.304	459.636	-4733.013	7193.666	476.936	-4751.286	7245.265	484.125	-4771.778	7295.603	481.917	-4795.313	7349.309	464.540	-4822.416	7416.718	437.696	-4844.663	7463.625	392.442	-4867.042	7515.128	339.183	-4883.850	7564.101	284.729	-4887.529	7617.601	235.671	-4877.477	7667.479	156.381	-4846.152	7725.457
2025	11.30726	442.594	-4542.774	6918.018	440.518	-4576.017	6944.068	441.717	-4621.213	6978.491	446.064	-4655.445	7012.519	444.100	-4683.952	7053.721	443.192	-4712.922	7111.053	457.518	-4730.425	7169.363	475.794	-4748.313	7220.778	483.960	-4768.332	7271.127	482.471	-4791.167	7325.093	465.290	-4817.513	7392.855	438.154	-4839.164	7439.781	392.520	-4860.362	7491.420	338.547	-4876.577	7539.805	283.017	-4880.055	7592.526	229.462	-4869.788	7642.766	151.537	-4839.228	7696.689
