NO_OF_FRAMES	321
NO_OF_CAMERAS	23
NO_OF_MARKERS	18
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-27, 12:20:35	11529.31991203
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	18 X	18 Y	18 Z	
13343	74.53631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	830.708	-4576.897	8458.919	796.439	-4618.322	8436.636	NA	NA	NA	NA	NA	NA	NA	NA	NA	675.169	-4718.711	8324.437	664.958	-4782.168	8304.915	643.723	-4842.782	8289.354	614.159	-4899.935	8275.793	568.553	-4948.983	8258.015	518.159	-4984.929	8239.746	479.402	-5051.605	8239.886	480.174	-5118.227	8267.995	463.058	-5205.572	8293.131
13344	74.54190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	837.521	-4568.506	8452.642	803.247	-4614.927	8431.746	NA	NA	NA	NA	NA	NA	NA	NA	NA	678.595	-4710.933	8322.142	669.232	-4774.501	8303.034	649.332	-4835.732	8287.744	621.128	-4893.571	8274.576	575.674	-4942.806	8257.779	524.353	-4977.726	8239.651	481.926	-5041.942	8237.478	478.408	-5109.108	8263.548	462.514	-5197.523	8296.497
13345	74.54749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	810.232	-4609.118	8428.522	NA	NA	NA	NA	NA	NA	NA	NA	NA	681.502	-4702.863	8319.548	673.544	-4766.959	8300.811	655.357	-4828.552	8285.643	627.845	-4886.546	8273.034	582.641	-4936.454	8257.104	530.684	-4970.817	8239.366	485.060	-5032.708	8235.211	476.682	-5100.204	8258.678	461.666	-5188.607	8298.756
13346	74.55307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	817.388	-4608.448	8420.909	767.543	-4581.848	8390.300	NA	NA	NA	NA	NA	NA	684.255	-4694.976	8316.733	677.272	-4759.268	8298.533	660.986	-4821.356	8283.463	634.754	-4879.664	8270.886	589.582	-4929.924	8255.994	537.133	-4964.240	8238.899	489.044	-5024.194	8231.844	476.475	-5094.729	8252.289	460.663	-5178.633	8298.864
13347	74.55866	NA	NA	NA	NA	NA	NA	NA	NA	NA	880.520	-4513.012	8464.380	NA	NA	NA	824.641	-4605.066	8415.155	774.706	-4577.912	8385.201	NA	NA	NA	693.805	-4632.285	8331.946	686.757	-4687.078	8313.679	681.007	-4751.626	8295.904	666.477	-4814.051	8281.036	641.106	-4872.314	8268.111	596.537	-4923.423	8254.482	543.769	-4957.830	8238.307	492.792	-5015.559	8229.734	475.092	-5085.396	8246.925	459.595	-5168.628	8297.065
13348	74.56425	NA	NA	NA	NA	NA	NA	NA	NA	NA	882.881	-4504.819	8456.533	NA	NA	NA	828.145	-4576.356	8415.041	781.772	-4573.417	8379.954	NA	NA	NA	697.155	-4623.912	8327.990	690.081	-4678.887	8310.010	684.914	-4743.964	8292.882	671.785	-4806.558	8278.243	647.326	-4865.099	8265.361	603.412	-4916.806	8252.501	550.415	-4951.573	8237.505	496.851	-5006.786	8227.481	474.276	-5075.699	8241.613	458.469	-5158.453	8293.317
13349	74.56983	NA	NA	NA	NA	NA	NA	NA	NA	NA	853.769	-4494.371	8455.350	NA	NA	NA	834.761	-4567.363	8409.578	788.829	-4569.767	8374.293	NA	NA	NA	700.414	-4615.736	8323.749	692.833	-4670.931	8306.360	688.685	-4736.145	8289.569	677.209	-4798.967	8274.931	653.330	-4857.831	8262.263	610.264	-4910.187	8250.313	557.151	-4945.272	8236.477	501.161	-4998.217	8225.077	473.622	-5065.808	8236.636	456.901	-5148.246	8288.637
13350	74.57542	NA	NA	NA	NA	NA	NA	NA	NA	NA	855.979	-4486.286	8447.120	894.489	-4524.826	8420.074	841.446	-4558.541	8403.745	795.779	-4565.944	8368.414	NA	NA	NA	703.618	-4607.427	8319.366	695.825	-4662.771	8302.288	692.186	-4728.126	8286.041	682.148	-4791.338	8271.457	658.930	-4850.265	8259.019	617.029	-4903.543	8247.779	563.829	-4939.060	8234.887	505.616	-4989.373	8222.535	473.831	-5055.551	8231.661	455.223	-5137.935	8282.685
13351	74.58101	NA	NA	NA	NA	NA	NA	NA	NA	NA	858.149	-4478.064	8438.505	897.013	-4516.855	8411.868	848.198	-4549.510	8397.814	802.639	-4561.658	8362.412	NA	NA	NA	707.468	-4599.011	8314.566	698.791	-4654.711	8297.980	695.692	-4720.457	8282.142	686.939	-4783.583	8267.581	665.742	-4843.271	8254.872	623.708	-4896.793	8244.892	570.589	-4932.742	8233.083	510.405	-4980.612	8219.966	475.567	-5044.837	8225.445	453.165	-5127.707	8275.947
13352	74.58659	NA	NA	NA	NA	NA	NA	NA	NA	NA	860.315	-4469.837	8429.554	899.191	-4508.787	8403.841	855.111	-4540.794	8391.454	809.601	-4558.632	8355.881	NA	NA	NA	711.129	-4590.843	8309.672	701.663	-4646.621	8293.363	699.341	-4712.520	8277.787	692.014	-4775.843	8263.222	670.951	-4835.661	8251.169	630.472	-4890.037	8241.693	577.250	-4926.291	8230.818	515.303	-4970.652	8217.381	477.259	-5034.437	8220.190	450.939	-5117.452	8268.402
