NO_OF_FRAMES	256
NO_OF_CAMERAS	23
NO_OF_MARKERS	16
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 11:34:50	5372.94525032
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	
3226	18.01676	885.815	-4313.030	8155.595	876.814	-4354.902	8174.197	933.638	-4416.535	8184.245	975.026	-4451.680	8209.268	938.917	-4499.200	8201.140	893.350	-4509.146	8141.719	837.959	-4549.519	8092.313	812.893	-4615.548	8084.049	803.509	-4669.330	8086.543	790.902	-4725.287	8086.056	767.579	-4775.988	8083.610	722.883	-4828.518	8086.516	649.816	-4887.498	8110.402	569.649	-4940.997	8170.686	502.560	-4959.725	8225.554	445.685	-4970.890	8271.687
3227	18.02235	889.101	-4307.006	8139.099	878.784	-4348.585	8157.605	935.166	-4408.957	8168.417	978.553	-4456.546	8189.057	946.255	-4488.207	8192.426	900.307	-4505.453	8131.956	844.142	-4542.917	8080.680	817.040	-4607.462	8071.555	807.759	-4661.220	8075.252	795.639	-4717.527	8075.826	773.611	-4768.799	8074.057	729.948	-4822.466	8076.864	656.953	-4881.462	8099.826	563.565	-4934.677	8160.295	507.351	-4951.758	8213.032	451.267	-4958.368	8261.578
3228	18.02793	892.472	-4300.738	8122.582	880.601	-4342.217	8140.450	936.403	-4402.637	8152.826	973.501	-4440.369	8168.939	953.884	-4482.516	8181.254	907.153	-4501.802	8121.917	850.794	-4536.563	8069.166	821.179	-4599.390	8058.859	812.013	-4653.149	8063.463	800.338	-4709.725	8065.143	779.622	-4761.423	8064.234	737.089	-4816.102	8067.251	662.047	-4875.811	8090.320	569.507	-4927.226	8149.733	512.303	-4944.325	8200.038	456.635	-4946.254	8250.434
3229	18.03352	896.289	-4294.775	8106.830	882.295	-4335.879	8122.944	937.244	-4396.518	8136.832	987.490	-4432.080	8150.492	962.504	-4476.682	8167.968	914.134	-4497.924	8111.648	857.475	-4530.409	8057.617	825.399	-4591.395	8045.957	815.836	-4645.003	8051.113	804.930	-4701.824	8053.938	785.631	-4754.093	8054.139	744.249	-4809.670	8057.377	669.263	-4869.625	8079.661	575.495	-4919.359	8138.418	517.659	-4935.113	8188.633	461.765	-4935.550	8238.648
3230	18.03911	899.632	-4288.396	8090.047	884.335	-4329.533	8105.305	937.787	-4390.690	8120.529	990.633	-4425.077	8133.459	970.688	-4470.060	8154.754	921.149	-4494.077	8101.142	864.436	-4524.500	8045.994	829.785	-4583.472	8032.822	819.788	-4636.906	8038.349	809.509	-4693.843	8042.334	791.553	-4746.553	8043.764	751.442	-4803.066	8047.481	676.497	-4863.261	8068.978	581.622	-4911.988	8126.869	523.054	-4926.207	8176.730	466.805	-4926.204	8226.395
3231	18.04469	902.884	-4282.017	8072.995	886.635	-4323.387	8087.528	938.311	-4385.263	8104.110	993.166	-4417.640	8116.057	978.548	-4462.620	8140.940	928.266	-4490.022	8090.377	871.566	-4518.735	8034.294	834.316	-4575.557	8019.453	823.693	-4628.832	8025.257	813.896	-4685.824	8030.298	797.264	-4738.949	8032.952	758.512	-4796.403	8037.241	683.688	-4856.599	8058.014	587.776	-4904.720	8115.045	528.612	-4917.976	8164.280	471.766	-4918.799	8213.563
3232	18.05028	905.749	-4275.625	8054.756	889.021	-4317.402	8069.755	938.860	-4379.908	8087.771	995.421	-4411.438	8098.263	986.018	-4454.359	8126.308	935.248	-4485.741	8079.501	878.875	-4513.211	8022.461	838.860	-4567.719	8005.850	827.510	-4620.681	8011.821	818.138	-4677.756	8017.912	802.798	-4731.091	8021.802	765.516	-4789.688	8026.573	690.992	-4850.046	8046.811	593.995	-4897.162	8102.823	534.193	-4909.766	8151.550	476.664	-4912.033	8200.242
3233	18.05587	909.330	-4270.392	8037.609	891.790	-4310.755	8052.603	936.108	-4373.335	8074.004	997.330	-4405.583	8080.119	992.505	-4447.424	8111.492	942.186	-4481.196	8068.393	886.453	-4507.841	8010.422	843.614	-4559.959	7992.021	831.234	-4612.423	7998.105	822.248	-4669.641	8005.099	808.156	-4723.205	8010.164	772.468	-4782.665	8015.723	698.311	-4842.165	8035.931	600.148	-4889.696	8090.293	539.800	-4902.470	8138.302	481.660	-4905.872	8186.241
3234	18.06145	912.702	-4266.920	8018.731	894.291	-4304.936	8034.809	936.904	-4367.874	8057.696	998.824	-4399.959	8061.866	1000.176	-4439.682	8094.894	949.026	-4476.488	8057.180	894.188	-4502.720	7998.205	848.791	-4552.264	7978.078	834.945	-4604.196	7984.061	826.287	-4661.431	7991.766	813.483	-4715.125	7998.076	779.386	-4775.599	8004.519	705.701	-4835.612	8024.551	606.363	-4882.397	8077.452	545.413	-4895.316	8124.758	486.505	-4900.084	8171.515
3235	18.06704	915.800	-4262.021	7999.813	896.821	-4299.156	8016.914	937.813	-4362.275	8041.303	1001.003	-4394.411	8042.180	1005.697	-4432.377	8077.283	955.806	-4471.463	8045.716	901.979	-4497.714	7985.896	854.564	-4544.820	7964.111	838.740	-4595.999	7969.751	830.168	-4653.183	7978.118	818.676	-4707.093	7985.599	786.305	-4768.292	7993.157	713.179	-4829.017	8013.072	612.640	-4875.325	8064.297	550.971	-4888.958	8110.584	491.508	-4895.284	8156.482
