NO_OF_FRAMES	225
NO_OF_CAMERAS	23
NO_OF_MARKERS	11
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-19, 17:03:28	92553.10512241
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	
928	5.17877	678.971	-4223.945	7187.245	702.170	-4306.191	7217.752	757.843	-4339.105	7217.720	777.956	-4395.493	7237.470	756.763	-4453.544	7245.499	719.420	-4526.774	7259.989	689.652	-4588.742	7290.812	672.255	-4648.633	7346.067	671.497	-4698.371	7438.630	665.194	-4636.585	7660.326	677.098	-4550.158	7778.792
929	5.18436	679.830	-4220.429	7164.856	701.424	-4302.433	7196.519	757.606	-4334.744	7195.127	781.244	-4389.588	7214.291	761.191	-4447.704	7223.492	723.321	-4520.457	7238.774	692.867	-4581.771	7270.511	674.581	-4640.805	7326.302	673.753	-4689.947	7419.215	670.908	-4627.997	7640.766	686.216	-4541.191	7758.794
930	5.18994	680.960	-4216.926	7142.101	700.759	-4298.668	7174.925	757.268	-4330.595	7172.185	784.439	-4383.552	7190.663	765.512	-4441.855	7201.160	723.912	-4504.498	7221.534	696.131	-4574.735	7249.690	676.931	-4632.892	7306.222	675.975	-4681.554	7399.423	676.562	-4619.681	7621.029	695.324	-4532.785	7738.235
931	5.19553	682.116	-4213.586	7118.996	700.173	-4294.945	7153.125	757.087	-4326.497	7148.948	787.440	-4377.535	7166.705	769.710	-4436.014	7178.639	727.921	-4498.512	7199.938	699.308	-4567.701	7229.615	679.378	-4625.021	7285.977	678.157	-4673.110	7379.401	682.326	-4611.682	7601.034	704.137	-4524.445	7717.322
932	5.20112	683.495	-4210.196	7095.531	699.578	-4291.324	7131.045	756.887	-4322.435	7125.478	790.315	-4371.597	7142.395	773.807	-4429.971	7155.852	731.773	-4491.858	7178.304	702.540	-4560.412	7208.661	681.844	-4617.055	7265.419	679.974	-4664.333	7357.582	688.007	-4603.869	7580.831	712.660	-4516.413	7696.187
933	5.20670	684.926	-4206.876	7071.727	699.080	-4287.566	7108.335	756.660	-4318.439	7101.642	793.000	-4365.631	7117.714	777.933	-4423.809	7132.759	735.834	-4485.367	7156.272	705.785	-4553.125	7187.622	684.393	-4609.040	7244.557	682.210	-4655.980	7336.861	693.780	-4596.438	7560.195	720.828	-4508.499	7674.918
934	5.21229	686.595	-4203.526	7047.580	698.556	-4283.901	7085.259	756.471	-4314.528	7077.635	794.999	-4358.304	7091.436	782.040	-4417.574	7109.514	739.773	-4478.929	7133.955	709.107	-4545.640	7166.075	686.932	-4601.064	7223.420	684.385	-4647.762	7315.924	699.491	-4589.138	7539.248	728.722	-4501.089	7653.381
935	5.21788	688.481	-4200.083	7023.029	698.035	-4280.244	7061.617	756.274	-4310.583	7053.315	797.249	-4352.451	7066.053	786.070	-4411.169	7085.854	743.592	-4472.280	7111.646	712.406	-4538.242	7144.450	689.546	-4592.971	7201.995	686.647	-4639.498	7294.635	705.284	-4582.122	7518.021	736.531	-4494.310	7631.651
936	5.22346	690.585	-4196.586	6998.228	697.550	-4276.506	7037.443	756.063	-4306.628	7028.704	800.094	-4348.512	7042.939	790.122	-4404.892	7062.016	747.471	-4465.269	7089.293	715.653	-4530.611	7122.698	692.183	-4584.928	7180.358	688.951	-4631.220	7273.007	711.061	-4575.205	7496.647	744.409	-4488.051	7609.844
937	5.22905	692.940	-4192.955	6973.134	696.968	-4272.729	7012.786	755.800	-4302.693	7003.942	801.450	-4341.440	7016.281	794.115	-4398.486	7037.813	751.351	-4458.392	7066.746	718.948	-4522.973	7100.733	694.783	-4576.739	7158.497	691.282	-4623.174	7251.044	716.899	-4568.399	7474.787	752.192	-4482.423	7588.074
938	5.23464	695.464	-4189.312	6947.639	696.461	-4268.838	6987.687	755.474	-4298.778	6978.951	802.820	-4335.710	6990.250	798.099	-4392.103	7013.284	755.290	-4451.601	7043.914	722.121	-4514.612	7078.519	697.371	-4568.604	7136.356	693.600	-4615.029	7228.761	722.554	-4561.799	7452.716	760.196	-4477.469	7566.354
939	5.24022	698.292	-4185.532	6921.679	695.938	-4264.754	6961.991	755.120	-4294.846	6953.744	803.929	-4330.034	6964.041	801.964	-4385.610	6988.523	759.225	-4444.581	7021.183	725.472	-4506.878	7056.012	699.929	-4560.454	7113.854	696.042	-4606.847	7206.250	NA	NA	NA	768.259	-4473.140	7544.550
940	5.24581	701.293	-4181.765	6895.486	695.414	-4260.534	6935.961	754.754	-4290.896	6928.378	804.981	-4323.945	6936.294	805.682	-4379.183	6963.481	763.194	-4437.447	6997.967	728.816	-4498.995	7033.439	702.557	-4552.168	7091.173	698.472	-4598.901	7183.347	NA	NA	NA	776.741	-4469.601	7522.868
941	5.25140	704.503	-4177.889	6868.896	694.853	-4256.200	6909.392	754.247	-4286.812	6902.698	805.426	-4318.575	6910.116	809.303	-4372.722	6938.183	767.321	-4430.822	6974.264	732.291	-4491.226	7010.416	705.136	-4543.884	7068.134	700.935	-4590.746	7160.201	NA	NA	NA	NA	NA	NA
942	5.25698	707.910	-4173.942	6841.808	694.368	-4251.711	6882.373	753.726	-4282.673	6876.837	805.674	-4313.349	6883.522	812.754	-4366.167	6912.582	771.949	-4424.995	6951.239	735.733	-4483.408	6987.127	707.751	-4535.563	7044.848	703.388	-4582.749	7136.731	NA	NA	NA	NA	NA	NA
