NO_OF_FRAMES	219
NO_OF_CAMERAS	23
NO_OF_MARKERS	3
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 12:41:35	9377.67537482
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	
26032	145.42458	389.635	-4576.372	3670.050	339.634	-4694.797	3631.549	291.829	-4974.133	3553.744
26033	145.43017	387.895	-4573.446	3629.207	337.028	-4688.713	3589.749	294.897	-4971.344	3509.650
26034	145.43575	384.859	-4570.561	3588.154	334.495	-4682.526	3547.956	297.997	-4968.452	3463.259
26035	145.44134	384.004	-4566.919	3548.628	332.062	-4676.436	3505.871	300.978	-4965.730	3419.624
26036	145.44693	381.731	-4563.732	3507.287	329.600	-4670.308	3463.891	303.751	-4962.871	3374.716
26037	145.45251	378.545	-4561.254	3463.640	327.262	-4664.337	3421.706	306.654	-4960.039	3330.503
26038	145.45810	377.374	-4557.387	3424.537	324.793	-4658.364	3379.396	309.368	-4957.108	3284.895
26039	145.46369	375.132	-4553.956	3382.713	322.537	-4652.509	3337.076	312.069	-4954.140	3239.840
26040	145.46927	372.043	-4551.103	3338.318	320.319	-4646.803	3294.874	NA	NA	NA
26041	145.47486	370.575	-4547.079	3299.156	317.783	-4641.087	3251.736	NA	NA	NA
26042	145.48045	367.006	-4544.006	3253.259	NA	NA	NA	NA	NA	NA
26043	145.48603	365.817	-4540.119	3214.569	NA	NA	NA	NA	NA	NA
26044	145.49162	361.322	-4535.263	3168.735	NA	NA	NA	NA	NA	NA
26045	145.49721	359.515	-4531.284	3126.620	NA	NA	NA	NA	NA	NA
26046	145.50279	355.911	-4527.633	3083.629	NA	NA	NA	NA	NA	NA
26047	145.50838	354.407	-4525.188	3040.758	NA	NA	NA	NA	NA	NA
26048	145.51397	352.383	-4520.925	3002.514	NA	NA	NA	NA	NA	NA
26049	145.51955	348.528	-4517.191	2954.978	NA	NA	NA	NA	NA	NA
26050	145.52514	346.725	-4513.125	2916.820	NA	NA	NA	NA	NA	NA
26051	145.53073	342.779	-4509.551	2868.706	NA	NA	NA	NA	NA	NA
26052	145.53631	340.893	-4505.552	2830.896	NA	NA	NA	NA	NA	NA
26053	145.54190	337.036	-4502.024	2781.846	NA	NA	NA	NA	NA	NA
26054	145.54749	335.013	-4498.148	2743.780	NA	NA	NA	NA	NA	NA
26055	145.55307	332.040	-4494.497	2700.098	NA	NA	NA	NA	NA	NA
26056	145.55866	327.984	-4492.117	2655.484	286.854	-4573.094	2603.525	NA	NA	NA
26057	145.56425	324.781	-4488.758	2610.682	285.047	-4569.430	2559.233	NA	NA	NA
26058	145.56983	321.514	-4485.448	2565.843	282.922	-4566.404	2514.266	NA	NA	NA
26059	145.57542	318.462	-4483.288	2519.016	281.171	-4563.865	2468.297	NA	NA	NA
26060	145.58101	314.518	-4479.023	2475.729	278.899	-4560.015	2425.388	NA	NA	NA
26061	145.58659	311.220	-4477.011	2429.053	276.825	-4557.439	2380.204	NA	NA	NA
26062	145.59218	307.395	-4473.768	2383.869	275.196	-4554.808	2334.672	NA	NA	NA
26063	145.59777	303.573	-4470.726	2338.375	272.512	-4552.193	2290.813	NA	NA	NA
26064	145.60335	299.221	-4467.782	2292.842	270.799	-4549.448	2246.121	NA	NA	NA
26065	145.60894	295.492	-4465.320	2246.070	268.586	-4546.616	2201.965	NA	NA	NA
26066	145.61453	290.826	-4461.512	2201.379	265.964	-4543.588	2158.090	NA	NA	NA
26067	145.62011	286.717	-4458.221	2155.703	263.458	-4540.783	2114.254	NA	NA	NA
26068	145.62570	282.644	-4454.852	2109.934	261.069	-4538.163	2070.609	NA	NA	NA
